#{"t_start": 1713264723.6784017, "env_id": "None"}
r,l,t
-492.0,93,3.725664
-460.0,98,3.901385
-480.0,96,4.064448
-488.0,97,4.213375
-350.0,100,4.364705
-492.0,93,4.522525
-658.0,80,4.641659
-388.0,107,4.801556
-344.0,106,4.960917
-620.0,82,5.091401
-526.0,95,5.242893
-306.0,108,5.409268
-550.0,89,5.548062
-444.0,96,5.68984
-432.0,99,5.847486
-322.0,101,5.998717
-390.0,105,6.144792
-338.0,103,6.297113
-540.0,90,6.446207
-614.0,79,6.560437
-496.0,98,6.706442
-540.0,90,8.392626
-428.0,94,8.527179
-236.0,106,8.683445
-374.0,103,8.847104
-354.0,105,9.011551
-250.0,119,9.218118
-428.0,94,9.370491
-474.0,102,9.538835
-398.0,97,9.690138
-356.0,103,9.861811
-382.0,104,10.034737
-408.0,96,10.194903
-650.0,79,10.323488
-400.0,95,10.463384
-512.0,91,10.59506
-458.0,100,10.744416
-388.0,98,10.891318
-628.0,83,11.013776
-412.0,101,11.16604
-598.0,86,11.295183
-454.0,95,11.434508
-434.0,97,12.96558
-320.0,112,13.13643
-332.0,109,13.296712
-386.0,100,13.446707
-478.0,98,13.594486
-434.0,97,13.739816
-446.0,94,13.880948
-332.0,109,14.049999
-726.0,75,14.160912
-158.0,112,14.313905
-160.0,119,14.48174
-360.0,99,14.688381
-276.0,111,14.959373
-328.0,113,15.222526
-410.0,103,15.422084
-450.0,99,15.65185
-418.0,95,15.83078
-212.0,121,16.077405
-356.0,103,16.308744
-380.0,97,16.515049
-414.0,99,18.588847
-276.0,111,18.833573
-336.0,105,19.082988
-350.0,100,19.311454
-340.0,110,19.553867
-432.0,99,19.779464
-220.0,113,19.996832
-382.0,104,20.246713
-286.0,110,20.505603
-324.0,108,20.796329
-368.0,100,21.029272
-546.0,84,21.227273
-494.0,91,21.426362
-192.0,123,21.701624
-352.0,107,21.926477
-328.0,104,22.162469
-278.0,109,22.418246
-270.0,117,22.670723
-170.0,118,22.935348
-258.0,120,24.559811
-172.0,116,24.749039
-166.0,113,24.932871
-440.0,100,25.097385
-488.0,88,25.227541
-238.0,113,25.395748
-154.0,116,25.582555
-254.0,106,25.752598
-380.0,106,25.924025
-406.0,98,26.087676
-362.0,106,26.258081
-138.0,123,26.458816
-148.0,113,26.647541
-456.0,93,26.804069
-306.0,108,26.968544
-300.0,105,27.149721
-176.0,112,27.331164
-88.0,128,27.539843
-428.0,103,27.726748
-328.0,104,29.342125
-200.0,115,29.533209
-244.0,107,29.719132
-426.0,87,29.85906
-312.0,102,30.029485
-224.0,109,30.210544
-394.0,101,30.390781
-236.0,115,30.60789
-336.0,105,30.782296
-228.0,114,30.968709
-30.0,132,31.172054
-86.0,121,31.362628
-286.0,101,31.514323
-282.0,105,31.684762
-382.0,104,31.851903
-276.0,111,32.024987
-204.0,111,32.20442
-18.0,117,32.382545
-212.0,112,32.581192
-154.0,116,34.102539
76.0,130,34.300235
-326.0,106,34.461402
-338.0,94,34.620285
-206.0,118,34.809102
-184.0,122,34.991586
-110.0,124,35.191671
-238.0,104,35.351222
-320.0,103,35.511086
-220.0,113,35.695439
-172.0,116,35.874849
-342.0,99,36.037079
-132.0,120,36.265372
-324.0,99,36.422607
-258.0,102,36.583471
-290.0,106,36.750788
-240.0,111,37.000979
-72.0,117,37.209527
-170.0,109,39.25033
-376.0,101,39.454471
-190.0,116,39.709898
-238.0,104,39.933072
-352.0,98,40.117575
-316.0,98,40.331873
-208.0,107,40.585766
-254.0,106,40.799549
-276.0,102,41.022721
-30.0,123,41.293615
-36.0,117,41.568791
-76.0,122,41.84552
-214.0,119,42.097642
-196.0,110,42.355575
-288.0,99,42.59898
-76.0,122,42.891735
-464.0,94,43.103448
-104.0,121,43.351058
-218.0,115,43.596642
-292.0,104,45.535217
-120.0,114,45.753595
-124.0,110,45.944236
-62.0,127,46.178845
-124.0,119,46.391979
-78.0,120,46.608904
-42.0,120,46.836416
-288.0,99,46.99427
-108.0,117,47.165123
-120.0,114,47.346691
-250.0,110,47.521604
-76.0,122,47.722261
-194.0,112,47.904034
-58.0,122,48.106735
-240.0,111,48.287989
124.0,124,48.475867
-272.0,106,48.649338
-326.0,106,48.818494
90.0,126,50.542535
-224.0,100,50.717676
74.0,137,50.950429
-136.0,116,51.155653
-322.0,101,51.320443
-282.0,105,51.478951
-58.0,113,51.657593
-230.0,112,51.851016
-98.0,118,52.052974
-166.0,113,52.241286
-106.0,119,52.437233
-86.0,121,52.63976
-2.0,124,52.864408
-338.0,94,53.034632
-32.0,121,53.222442
-116.0,118,53.405462
-226.0,107,53.573061
-84.0,123,53.779804
-118.0,116,55.464405
-100.0,116,55.665902
-240.0,111,55.866973
-18.0,126,56.084791
-130.0,113,56.286599
-138.0,114,56.488422
-184.0,104,56.669348
-96.0,120,56.845237
-122.0,112,57.028551
-88.0,128,57.23845
-78.0,129,57.461318
-210.0,114,57.654677
-150.0,111,57.83067
-56.0,115,58.024464
-70.0,119,58.218748
-238.0,113,58.397674
-102.0,123,58.579726
-122.0,112,60.176894
-112.0,113,60.380198
-246.0,105,60.543991
16.0,133,60.748808
-252.0,99,60.906931
-252.0,99,61.066205
-118.0,116,61.255989
-30.0,123,61.458054
-238.0,113,61.658097
238.0,139,61.881807
160.0,124,62.085446
10.0,127,62.307315
-260.0,109,62.489108
-128.0,115,62.671796
-182.0,115,62.859189
-46.0,125,63.058816
-8.0,118,63.250565
-266.0,112,63.425819
56.0,128,65.43893
4.0,121,65.708019
4.0,112,65.93251
-244.0,107,66.178368
-138.0,114,66.395519
-112.0,113,66.589654
-18.0,117,66.837263
-184.0,113,67.07421
206.0,125,67.368927
-64.0,116,67.612398
36.0,126,67.848342
-164.0,115,68.02939
-200.0,106,68.252004
-230.0,112,68.438523
-82.0,116,68.649675
-188.0,100,68.851285
-58.0,113,69.060631
128.0,128,70.905196
-62.0,127,71.133356
108.0,126,71.397392
-40.0,113,71.593171
12.0,120,71.812509
-14.0,121,72.03698
-22.0,122,72.304747
-160.0,110,72.503117
-44.0,118,72.729193
-198.0,108,72.919564
154.0,145,73.191514
-74.0,115,73.411183
98.0,125,73.632253
-242.0,109,73.831194
74.0,128,74.058176
-2.0,115,74.293384
-96.0,102,74.503609
-214.0,110,74.704679
12.0,120,76.468375
166.0,139,76.690373
-48.0,123,76.878786
-20.0,115,77.055675
-52.0,119,77.238448
-172.0,107,77.408735
-70.0,119,77.579415
-58.0,113,77.760506
188.0,134,77.953116
-4.0,131,78.165293
50.0,122,78.3465
-168.0,111,78.523976
-52.0,119,78.714375
110.0,128,78.909283
-100.0,116,79.096174
58.0,121,79.274271
-244.0,107,79.442994
156.0,129,80.987663
84.0,129,81.191161
148.0,130,81.440433
64.0,127,81.645068
62.0,134,81.860511
234.0,144,82.102644
46.0,127,82.305913
54.0,135,82.514179
-304.0,110,82.707499
-296.0,100,82.8738
146.0,137,83.090259
60.0,114,83.265702
-116.0,109,83.44829
58.0,121,83.635457
-124.0,119,83.833206
164.0,137,84.040265
182.0,137,85.603272
-64.0,116,85.794881
52.0,124,85.986709
144.0,126,86.189151
116.0,125,86.388323
46.0,127,86.592608
-84.0,114,86.777925
100.0,127,86.982199
130.0,130,87.200701
116.0,134,87.41169
-202.0,113,87.590266
48.0,129,87.785199
-70.0,119,87.9592
28.0,118,88.149267
98.0,125,88.34822
124.0,133,88.562776
-16.0,110,88.742113
126.0,126,90.283864
88.0,124,90.482732
-28.0,125,90.674621
72.0,126,90.877618
230.0,140,91.094164
78.0,132,91.307157
136.0,127,91.533522
-46.0,125,91.717986
-126.0,108,91.88136
22.0,121,92.052692
220.0,139,92.260544
136.0,127,92.449991
-102.0,123,92.64311
-154.0,107,92.849711
-66.0,105,93.049621
142.0,142,93.30989
172.0,136,95.264743
160.0,133,95.584183
138.0,129,95.84644
-8.0,118,96.077477
-128.0,115,96.291471
-136.0,116,96.52721
52.0,124,96.747114
62.0,125,96.988745
-36.0,117,97.197397
-234.0,108,97.396462
40.0,130,97.630324
280.0,145,97.89351
120.0,129,98.118979
-174.0,105,98.319523
66.0,129,98.559141
-54.0,117,98.766558
52.0,124,99.001066
138.0,129,100.864888
14.0,122,101.122701
-92.0,115,101.324574
-182.0,106,101.525911
46.0,118,101.729877
-16.0,119,101.942675
-18.0,117,102.183129
392.0,140,102.452496
306.0,135,102.723272
18.0,126,102.97137
-8.0,118,103.198894
-38.0,115,103.410553
-198.0,108,103.620691
52.0,124,103.848758
42.0,123,104.093552
34.0,133,104.336574
52.0,124,105.884184
192.0,129,106.086815
96.0,132,106.296521
-36.0,117,106.469575
140.0,131,106.661858
-12.0,123,106.867211
104.0,131,107.07352
20.0,119,107.265208
22.0,121,107.454427
284.0,131,107.663607
156.0,129,107.874032
204.0,132,108.077964
-178.0,110,108.25246
224.0,134,108.456251
48.0,129,108.671752
42.0,132,108.869305
-30.0,123,109.067685
96.0,132,110.608262
222.0,141,110.829453
188.0,134,111.053861
366.0,159,111.305734
112.0,139,111.563901
210.0,138,111.782286
4.0,121,111.983112
-122.0,112,112.150368
174.0,129,112.342542
68.0,122,112.525067
54.0,117,112.706255
-30.0,114,112.888026
-46.0,107,113.050555
100.0,127,113.234298
74.0,119,113.411765
214.0,133,113.611631
50.0,122,115.16888
-64.0,116,115.335756
58.0,121,115.522894
70.0,133,115.731533
6.0,123,115.924067
328.0,157,116.161023
-48.0,123,116.347711
124.0,142,116.560361
42.0,123,116.747673
198.0,144,116.960323
124.0,133,117.15606
252.0,135,117.356161
-156.0,105,117.530941
154.0,127,117.717383
-48.0,114,117.907099
56.0,128,118.102029
166.0,130,119.640256
124.0,124,119.822848
310.0,148,120.054745
68.0,122,120.244836
40.0,130,120.428529
-42.0,120,120.605701
356.0,149,120.902243
12.0,120,121.133483
184.0,139,121.404231
186.0,141,121.654463
-10.0,116,121.878783
104.0,122,122.110239
136.0,127,122.339723
124.0,133,122.592676
16.0,133,122.826513
132.0,132,124.778377
98.0,125,125.031481
0.0,126,125.269642
198.0,135,125.537528
280.0,154,125.805276
-60.0,120,126.056501
148.0,130,126.286105
268.0,142,126.579125
98.0,125,126.817762
148.0,130,127.077569
26.0,125,127.341365
90.0,126,127.585123
218.0,128,127.826272
166.0,130,128.074097
172.0,127,128.323523
122.0,131,128.577656
64.0,127,130.557947
-20.0,124,130.712774
-192.0,114,130.836711
124.0,133,131.006359
-246.0,105,131.125347
-310.0,104,131.242688
-452.0,97,131.360279
-276.0,111,131.479265
